name,price,review
Albatros Laguna Vista Resort,7631,12
"Albatros Palace Sharm - ""Aqua Park""",10773,42
Amphoras BeachOpens in new window,5361,32
Amphoras Blu,4688,34
Aurora Oriental Resort Sharm El SheikhOpens in new window,3247,12
Charmillion Club Aquapark,5666,41
Charmillion Club Resort,4848,37
Charmillion Sea Life Resort,5333,44
"Domina Coral Bay Resort, Diving , Spa & Casino",4336,45
Falcon Hills Hotel,1467,10
Grand Oasis ResortOpens in new window,4113,12
Hotel Novotel Sharm El-Sheikh,3566,10
IL Mercato Hotel & Spa,2619,13
Park Regency Sharm El Sheikh Resort (Formerly Hyatt Regency),5593,14
Parrotel Beach Resort,5482,31
Pyramisa Beach Resort Sharm El Sheikh,5084,12
Reef Oasis Beach Resort,7400,35
Savoy Sharm El Sheikh,3949,36
Sharm Dreams ResortOpens in new window,4940,33
Solymar Naama Bay,3015,12
Sultan Gardens Resort,5456,43
Sunrise Diamond Beach Resort -Grand Select,8418,11
Sunrise Montemare Resort -Grand Select,8851,12
Tamra Beach Resort,7949,46
Tropitel Waves Naama Bay Hotel,3873,13
